"module name","license","repository"
"@ampproject/remapping@2.1.2","Apache-2.0","https://github.com/ampproject/remapping"
"@apollo/protobufjs@1.2.2","BSD-3-Clause","https://github.com/apollographql/protobuf.js"
"@apollographql/apollo-tools@0.5.3","MIT","https://github.com/apollographql/apollo-tooling"
"@apollographql/graphql-playground-html@1.6.29","MIT","https://github.com/graphcool/graphql-playground"
"@babel/code-frame@7.16.7","MIT","https://github.com/babel/babel"
"@babel/compat-data@7.17.0","MIT","https://github.com/babel/babel"
"@babel/core@7.17.5","MIT","https://github.com/babel/babel"
"@babel/generator@7.17.3","MIT","https://github.com/babel/babel"
"@babel/helper-compilation-targets@7.16.7","MIT","https://github.com/babel/babel"
"@babel/helper-environment-visitor@7.16.7","MIT","https://github.com/babel/babel"
"@babel/helper-function-name@7.16.7","MIT","https://github.com/babel/babel"
"@babel/helper-get-function-arity@7.16.7","MIT","https://github.com/babel/babel"
"@babel/helper-hoist-variables@7.16.7","MIT","https://github.com/babel/babel"
"@babel/helper-module-imports@7.16.7","MIT","https://github.com/babel/babel"
"@babel/helper-module-transforms@7.17.6","MIT","https://github.com/babel/babel"
"@babel/helper-plugin-utils@7.16.7","MIT","https://github.com/babel/babel"
"@babel/helper-simple-access@7.16.7","MIT","https://github.com/babel/babel"
"@babel/helper-split-export-declaration@7.16.7","MIT","https://github.com/babel/babel"
"@babel/helper-validator-identifier@7.16.7","MIT","https://github.com/babel/babel"
"@babel/helper-validator-option@7.16.7","MIT","https://github.com/babel/babel"
"@babel/helpers@7.17.2","MIT","https://github.com/babel/babel"
"@babel/highlight@7.16.10","MIT","https://github.com/babel/babel"
"@babel/parser@7.17.3","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-async-generators@7.8.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-async-generators"
"@babel/plugin-syntax-bigint@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-bigint"
"@babel/plugin-syntax-class-properties@7.12.13","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-import-meta@7.10.4","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-json-strings@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-json-strings"
"@babel/plugin-syntax-logical-assignment-operators@7.10.4","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-nullish-coalescing-operator@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-nullish-coalescing-operator"
"@babel/plugin-syntax-numeric-separator@7.10.4","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-object-rest-spread@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-object-rest-spread"
"@babel/plugin-syntax-optional-catch-binding@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-catch-binding"
"@babel/plugin-syntax-optional-chaining@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-chaining"
"@babel/plugin-syntax-top-level-await@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-typescript@7.16.7","MIT","https://github.com/babel/babel"
"@babel/template@7.16.7","MIT","https://github.com/babel/babel"
"@babel/traverse@7.17.3","MIT","https://github.com/babel/babel"
"@babel/types@7.17.0","MIT","https://github.com/babel/babel"
"@bcoe/v8-coverage@0.2.3","MIT","https://github.com/demurgos/v8-coverage"
"@colors/colors@1.5.0","MIT","https://github.com/DABH/colors.js"
"@commitlint/cli@16.2.1","MIT","https://github.com/conventional-changelog/commitlint"
"@commitlint/config-conventional@16.2.1","MIT","https://github.com/conventional-changelog/commitlint"
"@commitlint/config-validator@16.2.1","MIT","https://github.com/conventional-changelog/commitlint"
"@commitlint/ensure@16.2.1","MIT","https://github.com/conventional-changelog/commitlint"
"@commitlint/execute-rule@16.2.1","MIT","https://github.com/conventional-changelog/commitlint"
"@commitlint/format@16.2.1","MIT","https://github.com/conventional-changelog/commitlint"
"@commitlint/is-ignored@16.2.1","MIT","https://github.com/conventional-changelog/commitlint"
"@commitlint/lint@16.2.1","MIT","https://github.com/conventional-changelog/commitlint"
"@commitlint/load@16.2.1","MIT","https://github.com/conventional-changelog/commitlint"
"@commitlint/message@16.2.1","MIT","https://github.com/conventional-changelog/commitlint"
"@commitlint/parse@16.2.1","MIT","https://github.com/conventional-changelog/commitlint"
"@commitlint/read@16.2.1","MIT","https://github.com/conventional-changelog/commitlint"
"@commitlint/resolve-extends@16.2.1","MIT","https://github.com/conventional-changelog/commitlint"
"@commitlint/rules@16.2.1","MIT","https://github.com/conventional-changelog/commitlint"
"@commitlint/to-lines@16.2.1","MIT","https://github.com/conventional-changelog/commitlint"
"@commitlint/top-level@16.2.1","MIT","https://github.com/conventional-changelog/commitlint"
"@commitlint/types@16.2.1","MIT","https://github.com/conventional-changelog/commitlint"
"@cspotcode/source-map-consumer@0.8.0","BSD-3-Clause","https://github.com/cspotcode/source-map"
"@cspotcode/source-map-support@0.7.0","MIT","https://github.com/cspotcode/node-source-map-support"
"@dabh/diagnostics@2.0.3","MIT","https://github.com/3rd-Eden/diagnostics"
"@eslint/eslintrc@1.2.0","MIT","https://github.com/eslint/eslintrc"
"@fastify/ajv-compiler@1.1.0","MIT","https://github.com/fastify/ajv-compiler"
"@graphql-tools/merge@8.2.3","MIT","https://github.com/ardatan/graphql-tools"
"@graphql-tools/mock@8.5.2","MIT","https://github.com/ardatan/graphql-tools"
"@graphql-tools/schema@8.3.2","MIT","https://github.com/ardatan/graphql-tools"
"@graphql-tools/utils@8.6.2","MIT","https://github.com/ardatan/graphql-tools"
"@humanwhocodes/config-array@0.9.5","Apache-2.0","https://github.com/humanwhocodes/config-array"
"@humanwhocodes/object-schema@1.2.1","BSD-3-Clause","https://github.com/humanwhocodes/object-schema"
"@istanbuljs/load-nyc-config@1.1.0","ISC","https://github.com/istanbuljs/load-nyc-config"
"@istanbuljs/schema@0.1.3","MIT","https://github.com/istanbuljs/schema"
"@jest/console@27.5.1","MIT","https://github.com/facebook/jest"
"@jest/core@27.5.1","MIT","https://github.com/facebook/jest"
"@jest/environment@27.5.1","MIT","https://github.com/facebook/jest"
"@jest/fake-timers@27.5.1","MIT","https://github.com/facebook/jest"
"@jest/globals@27.5.1","MIT","https://github.com/facebook/jest"
"@jest/reporters@27.5.1","MIT","https://github.com/facebook/jest"
"@jest/source-map@27.5.1","MIT","https://github.com/facebook/jest"
"@jest/test-result@27.5.1","MIT","https://github.com/facebook/jest"
"@jest/test-sequencer@27.5.1","MIT","https://github.com/facebook/jest"
"@jest/transform@27.5.1","MIT","https://github.com/facebook/jest"
"@jest/types@27.5.1","MIT","https://github.com/facebook/jest"
"@josephg/resolvable@1.0.1","ISC","https://github.com/josephg/resolvable"
"@jridgewell/resolve-uri@3.0.5","MIT","https://github.com/jridgewell/resolve-uri"
"@jridgewell/sourcemap-codec@1.4.11","MIT","https://github.com/jridgewell/sourcemap-codec"
"@jridgewell/trace-mapping@0.3.4","MIT","https://github.com/jridgewell/trace-mapping"
"@nodelib/fs.scandir@2.1.5","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.scandir"
"@nodelib/fs.stat@2.0.5","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.stat"
"@nodelib/fs.walk@1.2.8","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.walk"
"@protobufjs/aspromise@1.1.2","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js"
"@protobufjs/base64@1.1.2","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js"
"@protobufjs/codegen@2.0.4","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js"
"@protobufjs/eventemitter@1.1.0","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js"
"@protobufjs/fetch@1.1.0","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js"
"@protobufjs/float@1.0.2","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js"
"@protobufjs/inquire@1.1.0","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js"
"@protobufjs/path@1.1.2","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js"
"@protobufjs/pool@1.1.0","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js"
"@protobufjs/utf8@1.1.0","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js"
"@scalapay/sequelize-graphql@1.12.0","MIT",""
"@sinonjs/commons@1.8.3","BSD-3-Clause","https://github.com/sinonjs/commons"
"@sinonjs/fake-timers@8.1.0","BSD-3-Clause","https://github.com/sinonjs/fake-timers"
"@tootallnate/once@1.1.2","MIT","https://github.com/TooTallNate/once"
"@tsconfig/node10@1.0.8","MIT","https://github.com/tsconfig/bases"
"@tsconfig/node12@1.0.9","MIT","https://github.com/tsconfig/bases"
"@tsconfig/node14@1.0.1","MIT","https://github.com/tsconfig/bases"
"@tsconfig/node16@1.0.2","MIT","https://github.com/tsconfig/bases"
"@types/babel__core@7.1.18","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/babel__generator@7.6.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/babel__template@7.4.1","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/babel__traverse@7.14.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
